#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_id
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:16:00Z,0,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:17:00Z,0,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:18:00Z,0.05128205128205128,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:19:00Z,0.025,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:20:00Z,0.05128205128205128,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:21:00Z,0,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:22:00Z,0.05128205128205128,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:23:00Z,0.02564102564102564,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:24:00Z,0,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:25:00Z,0.02564102564102564,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:26:00Z,0.05128205128205128,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:27:00Z,0.02564102564102564,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:28:00Z,0.02564102564102564,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:29:00Z,0.07692307692307693,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:30:00Z,0.1,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:31:00Z,0,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:32:00Z,0.07692307692307693,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:33:00Z,0,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:34:00Z,0,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:35:00Z,0,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:36:00Z,0.025,confirm,sensor_logs_1,node-062
,,245,2026-04-23T15:40:11.086644467Z,2026-04-23T18:40:11.086644467Z,2026-04-23T17:37:00Z,0.02564102564102564,confirm,sensor_logs_1,node-062
